seq_length,latency
811,0.06364694237709045
858,0.13396105356514454
897,0.14363098703324795
924,0.1426089135929942
952,0.14603626355528831
983,0.1563420332968235
1007,0.2024568459019065
1028,0.21575437486171722
1056,0.14753867033869028
1082,0.14360938780009747
1107,0.14685286115854979
1142,0.1514630112797022
1182,0.1623851777985692
1214,0.17420217487961054
1244,0.17811286821961403
1279,0.19711430091410875
1339,0.1500958949327469
1366,0.17085635848343372
1407,0.18520810082554817
1438,0.18078817054629326
