seq_length,latency
811,2.029838416725397
893,1.1862334925681353
945,0.1403583511710167
985,0.14673852361738682
1029,0.17924563959240913
1072,0.14028550311923027
1109,0.1477676685899496
1139,0.15040069911628962
1172,0.15726919006556273
1203,0.1701234132051468
1231,0.1793057331815362
1267,0.1863559829071164
1307,0.19440741185098886
1341,0.15860399510711432
1373,0.16764780413359404
1404,0.1815771171823144
1434,0.16839529294520617
1463,0.18214847054332495
1495,0.190578349865973
1524,0.18486283253878355
