seq_length,latency
811,0.07900322694331408
892,0.13692549616098404
917,0.14280174113810062
940,0.16121655516326427
974,0.1705604400485754
1002,0.1672532521188259
1027,0.18193926475942135
1049,0.1437851581722498
1076,0.14754975400865078
1099,0.1890681115910411
1121,0.15144862420856953
1153,0.16017970815300941
1190,0.16574130486696959
1219,0.17214328609406948
1246,0.17955346405506134
1272,0.19228962250053883
1297,0.21412986516952515
1321,0.16319634206593037
1348,0.165031548589468
1373,0.1959359161555767
