seq_length,latency
663,0.09130653087049723
735,0.25104157999157906
858,0.1677385987713933
725,0.13929832447320223
621,0.17605391051620245
649,0.15378552582114935
772,0.17745907977223396
781,0.10334048885852098
739,0.19211721047759056
501,0.15364926028996706
470,0.1544513814151287
507,0.08829032350331545
580,0.16603781655430794
652,0.16996386274695396
690,0.16531657055020332
834,0.16686673928052187
799,0.16037061344832182
809,0.17720687109977007
892,0.20274383015930653
680,0.198135937564075
826,0.16434313263744116
884,0.17451431974768639
