seq_length,latency
828,0.20719654113054276
625,0.21566426008939743
650,0.13930184859782457
768,0.17671221494674683
869,0.13859293889254332
501,0.18809237703680992
894,0.2577605815604329
687,0.2128052106127143
735,0.1917097931727767
686,0.1597629738971591
992,0.15706583391875029
705,0.14648091327399015
987,0.15778777562081814
913,0.1953934794291854
1049,0.16618230007588863
546,0.18558915238827467
583,0.1359295817092061
798,0.20331241469830275
817,0.16712445206940174
865,0.14524315763264894
1008,0.20379232987761497
805,0.21454357728362083
841,0.1609378894791007
1199,0.21421881765127182
784,0.19786822330206633
726,0.1799155967310071
680,0.16814155969768763
1195,0.20485252793878317
719,0.2524754563346505
763,0.156188796274364
