seq_length,latency
578,2.5572853134945035
734,0.8521972894668579
809,1.4302165601402521
691,0.3977934680879116
715,1.4530542166903615
755,0.691689190454781
827,0.8233552062883973
689,0.4697655215859413
661,0.7620284026488662
501,0.6903970446437597
628,1.1376610100269318
776,0.783495225943625
704,0.34804247599095106
594,0.18100729025900364
506,0.8591434443369508
648,0.9808380268514156
647,0.39520580880343914
520,1.5442482735961676
517,1.6669287597760558
663,0.16681973077356815
540,0.10575298219919205
665,0.34778131265193224
673,0.05933949910104275
716,0.9129914352670312
613,0.10560499504208565
731,0.36929421965032816
680,0.12640017550438643
536,1.6361345127224922
687,0.09142256714403629
845,1.534027012065053
