seq_length,latency
840,2.0622149473056197
922,1.183820428326726
957,0.17016069497913122
1000,0.16282406263053417
1036,0.17316499538719654
1076,0.13259471114724874
1104,0.14138210006058216
1136,0.14156217128038406
1172,0.15183499455451965
1202,0.1556209810078144
1233,0.1691870465874672
1277,0.19496115949004889
1316,0.15615079272538424
1347,0.16307994071394205
1375,0.15768112987279892
1402,0.162858746945858
1428,0.1668506320565939
1452,0.17162085138261318
1480,0.17871865537017584
1505,0.1823302125558257
