seq_length,latency
811,2.09248517267406
893,1.1953451968729496
934,0.15031192265450954
963,0.14918921794742346
992,0.15641090087592602
1025,0.18216183222830296
1055,0.1411472987383604
1085,0.13699605874717236
1119,0.1470626825466752
1149,0.15378871839493513
1170,0.16552965063601732
1201,0.1757715828716755
1246,0.1840031761676073
1283,0.2111116023734212
1318,0.14739863481372595
1352,0.16008995939046144
1385,0.1618841951712966
1417,0.17102846503257751
1452,0.17874011769890785
1485,0.19522688910365105
