seq_length,latency
650,2.0321706999093294
770,0.22245363797992468
689,0.2222502650693059
751,1.176817779429257
680,0.22202139906585217
625,0.1979311080649495
739,0.22289566043764353
850,0.18622815236449242
722,0.22727852128446102
828,0.24260420259088278
887,0.2704390464350581
683,0.14602550212293863
807,0.2604898093268275
649,0.20945057179778814
786,0.24029328674077988
841,0.1339381029829383
737,0.21722864639014006
894,0.24507976602762938
803,0.2645358871668577
659,0.24361467640846968
687,0.15292925853282213
860,0.25328926369547844
732,0.23300475906580687
834,0.27540065441280603
993,0.16447113081812859
938,0.19090296793729067
1031,0.18884548731148243
901,0.3766104308888316
907,0.3270562030375004
871,0.3888223711401224
934,0.16430733632296324
722,0.18546033650636673
703,0.310489883646369
895,0.38093822449445724
793,0.3371187625452876
779,0.3316893242299557
