seq_length,latency
738,0.25206877663731575
627,0.10076411068439484
580,0.1601132294163108
727,0.18520825635641813
738,0.16186826955527067
827,0.12044803239405155
470,0.07282864023000002
768,0.10635202098637819
503,0.15947583597153425
805,0.1756206452846527
812,0.16246218979358673
787,0.15422997809946537
892,0.16322954930365086
654,0.15905782207846642
851,0.17922335769981146
882,0.18478534650057554
666,0.17171538341790438
834,0.1085174698382616
653,0.16173221915960312
680,0.19216607976704836
694,0.1631506970152259
506,0.15430759079754353
