seq_length,latency
811,2.1355166770517826
893,1.1827006228268147
934,0.1568265287205577
979,0.15649324655532837
1017,0.17738790344446898
1050,0.1816240232437849
1078,0.1387559911236167
1103,0.14329043123871088
1132,0.1601675869897008
1158,0.15871572401374578
1183,0.16957720648497343
1218,0.1861120369285345
1258,0.18264788296073675
1290,0.19134160783141851
1321,0.15331328194588423
1351,0.1598158534616232
1380,0.1602118732407689
1408,0.1720560770481825
1439,0.17697187885642052
1468,0.17459117155522108
