seq_length,latency
811,2.2915834728628397
893,1.211543221026659
934,0.1574231181293726
979,0.1624445514753461
1011,0.18160303588956594
1049,0.19083733204752207
1080,0.1467478359118104
1119,0.15617011580616236
1153,0.15836641658097506
1196,0.1686092084273696
1238,0.17182596679776907
1272,0.17597917839884758
1311,0.22633166424930096
1342,0.15855754632502794
1371,0.16801427584141493
1399,0.16898018680512905
1426,0.18052290566265583
1452,0.20801434945315123
1481,0.19486561976373196
1508,0.20392179861664772
