seq_length,latency
811,1.9279484115540981
893,1.1870109401643276
934,0.14059775043278933
979,0.15896124951541424
1011,0.16688453406095505
1049,0.1822448754683137
1080,0.14787341002374887
1119,0.14481960609555244
1153,0.15523795504122972
1196,0.16164598520845175
1238,0.1684675831347704
1272,0.18474705144762993
1311,0.19749351684004068
1342,0.16247950959950686
1371,0.17500864155590534
1399,0.16550606954842806
1426,0.16947555355727673
1452,0.17503626830875874
1481,0.17936333734542131
1508,0.18791126739233732
