seq_length,latency
811,2.0489291166886687
893,1.174870335496962
934,0.13982304651290178
963,0.15347898472100496
997,0.1645921729505062
1033,0.17634209524840117
1065,0.13657336309552193
1096,0.13909432850778103
1130,0.17306084651499987
1162,0.1591393854469061
1189,0.16500868182629347
1226,0.1762435520067811
1271,0.20025169849395752
1308,0.1973018255084753
1343,0.1597035238519311
1377,0.16185117699205875
1410,0.17109051998704672
1442,0.1816511582583189
1477,0.19260900281369686
1510,0.19992960058152676
