seq_length,latency
767,2.91171608120203
781,1.9319551037624478
798,0.8157826168462634
689,1.299157184548676
703,1.0277814557775855
717,0.6000479282811284
578,1.2950239721685648
593,1.7563873268663883
609,0.7623044494539499
889,2.3029044810682535
914,1.0441252030432224
937,2.0657949801534414
473,0.6904108123853803
489,0.8613213673233986
505,1.083601570688188
506,0.4344456512480974
525,0.26745403185486794
545,0.26842006389051676
509,0.6967693353071809
530,0.23424510844051838
546,0.3662466425448656
881,0.47533408738672733
903,0.24934585578739643
921,0.2489692084491253
650,0.6106038810685277
670,0.24441398959606886
686,0.43994507659226656
828,0.698954657651484
848,0.49977691378444433
868,0.3517783498391509
