seq_length,latency
811,0.0643925117328763
858,0.14427824318408966
897,0.14908970892429352
924,0.1510794898495078
952,0.15676682069897652
983,0.16570630110800266
1007,0.19053643103688955
1028,0.18564818985760212
1056,0.14908579643815756
1082,0.14143808092921972
1107,0.1451770504936576
1142,0.16498244646936655
1182,0.17762809060513973
1214,0.18412197660654783
1244,0.18715358525514603
1279,0.19519630819559097
1339,0.1694895215332508
1366,0.16916880384087563
1407,0.18169953767210245
1438,0.1814504936337471
