seq_length,latency
811,0.06666536349803209
856,0.14372517354786396
880,0.14761706441640854
910,0.15278993546962738
932,0.16678514517843723
959,0.16371187008917332
984,0.17510431725531816
1006,0.18831164669245481
1033,0.21562002040445805
1056,0.14797416049987078
1078,0.1617660215124488
1109,0.16127926670014858
1146,0.16834650188684464
1175,0.1672136140987277
1201,0.1581635531038046
1226,0.17433120030909777
1251,0.1790813570842147
1276,0.17893622815608978
1314,0.20997634250670671
1340,0.16550735756754875
