seq_length,latency
811,0.06722190137952566
856,0.12881793268024921
880,0.14749297872185707
910,0.1601797714829445
932,0.15732150804251432
959,0.16044953372329473
984,0.17413171380758286
1006,0.1852156911045313
1033,0.21735686156898737
1056,0.14609019085764885
1078,0.14211630076169968
1109,0.16549165360629559
1146,0.16126812435686588
1175,0.1738325022161007
1201,0.17661799117922783
1226,0.1882262323051691
1251,0.19614290352910757
1276,0.19661924336105585
1314,0.20888252649456263
1340,0.1652747057378292
