seq_length,latency
688,0.28234029188752174
781,0.1732244174927473
814,0.1850326918065548
739,0.19446226302534342
860,0.19766927603632212
583,0.15720389131456614
663,0.16857310570776463
475,0.1636845711618662
649,0.08041133359074593
627,0.15545924473553896
689,0.16648842114955187
828,0.17231377307325602
737,0.18715912196785212
507,0.165905999019742
801,0.1535140760242939
501,0.16865000873804092
827,0.17510124016553164
649,0.1634942889213562
881,0.17062677815556526
769,0.21169588714838028
895,0.21504840906709433
722,0.2047285083681345
